final_courses_unique_names,,
institution,name,Fee
The Museum of Modern Art,Seeing Through Photographs,49
University of Pennsylvania,Entrepreneurship 1: Developing the Opportunity,79
University of California San Diego,Drug Development,49
Columbia University,Economics of Money and Banking,49
Peking University,Chinese for Beginners,49
University of London,Introduction to English Common Law,49
University of Pennsylvania,Introduction to Dental Medicine,79
Alberta Machine Intelligence Institute,Fundamentals of Reinforcement Learning,79
Duke University,Behavioral Finance,49
DeepLearning.AI,"Sequences, Time Series and Prediction",49
Rutgers the State University of New Jersey,Supply Chain Logistics,49
"University of California, Irvine",Project Execution,49
Universidad Nacional Autónoma de México,Nutrición y obesidad: control de sobrepeso,49
University of Illinois at Urbana-Champaign,Microeconomics Principles,49
Wesleyan University,Creative Writing: The Craft of Plot,49
University of Arizona,Astronomy: Exploring Time and Space,49
University of Virginia,Design Thinking for Innovation,49
The University of Edinburgh,EDIVET: Do you have what it takes to be a veterinarian?,49
University of Toronto,Learn to Program: The Fundamentals,49
University of Virginia,Financial Accounting Fundamentals,49
University of Michigan,Finding Purpose and Meaning In Life: Living for What Matters Most,49
University of Cape Town,Understanding Clinical Research: Behind the Statistics,29
The University of North Carolina at Chapel Hill,Epidemiology: The Basic Science of Public Health,49
The Museum of Modern Art,Fashion as Design,49
University of Colorado Boulder,Teamwork Skills: Communicating Effectively in Groups,49
"University of California, Santa Cruz",Feminism and Social Justice,49
"University of California, Davis",Fundamentals of GIS,49
University of Illinois at Urbana-Champaign,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,49
University of Colorado Boulder,"Excel/VBA for Creative Problem Solving, Part 1",49
Duke University,Introduction to Probability and Data with R,49
University of Michigan,Understanding and Visualizing Data with Python,49
"University of California, Davis",Fundamentals of Visualization with Tableau,49
SAS,Getting Started with SAS Programming,49
University of London,Machine Learning for All,49
University of Michigan,Using Databases with Python,49
Yale University,Addiction Treatment: Clinical Skills for Healthcare Providers,49
University of Alberta,Dino 101: Dinosaur Paleobiology,84
Northwestern University,Sports Marketing,49
Vanderbilt University,Introduction to Programming with MATLAB,49
University of Minnesota,Preparing to Manage Human Resources,49
The State University of New York,Solar Energy Basics,49
Google Cloud,Building Scalable Java Microservices with Spring Boot and Spring Cloud,49
"Nanyang Technological University, Singapore",Introduction to Forensic Science,49
Yale University,American Contract Law I,49
New York University,Engineering Health: Introduction to Yoga and Physiology,49
DeepLearning.AI,AI for Medical Diagnosis,49
DeepLearning.AI,Natural Language Processing with Sequence Models,49
Georgia Institute of Technology,Introduction to Electronics,49
IE School of Architecture & Design,Making Architecture,49
University of Michigan,Model Thinking,49
Erasmus University Rotterdam,Innovation Management,49
"Birkbeck, University of London",The Manager's Toolkit: A Practical Guide to Managing People at Work,49
University of Virginia,"The Modern World, Part One: Global History from 1760 to 1910",49
Georgia Institute of Technology,Supply Chain Principles,49
Google Cloud,Essential Google Cloud Infrastructure: Core Services,49
Emory University,Weight Management: Beyond Balancing Calories,49
Universiteit Leiden,Miracles of Human Language: An Introduction to Linguistics,49
Duke University,Java Programming: Solving Problems with Software,49
University of Illinois at Urbana-Champaign,Race and Cultural Diversity in American Life and History,49
University of Michigan,Inspiring and Motivating Individuals,49
Universitat Autònoma de Barcelona,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",49
University of Pennsylvania,People Analytics,79
California Institute of the Arts,UX Design Fundamentals,49
Imperial College London,Creative Thinking: Techniques and Tools for Success,49
Yale University,Introduction to Classical Music,49
University of Geneva,Children's Human Rights - An Interdisciplinary Introduction,49
HEC Paris,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,79
Rice University,Introduction to Data Analysis Using Excel,49
University of Toronto,Mind Control: Managing Your Mental Health During COVID-19,49
Case Western Reserve University,Introduction to International Criminal Law,49
University of Pennsylvania,"FinTech: Foundations, Payments, and Regulations",79
University of Pennsylvania,Greek and Roman Mythology,79
Sciences Po,Politics and Economics of International Energy,49
Arizona State University,Teach English Now! Foundational Principles,49
HEC Paris,Business Model Innovation,79
University of Michigan,Introduction to User Experience Principles and Processes,49
Eindhoven University of Technology,Process Mining: Data science in Action,49
Rice University,Fundamentals of Immunology: Innate Immunity and B-Cell Function,49
University of Pennsylvania,Introduction to Corporate Finance,79
University of London,Global Diplomacy: the United Nations in the World,49
University of California San Diego,Algorithmic Toolbox,79
University of Geneva,Troubles du spectre de l'autisme : diagnostic,49
University of Michigan,Anatomy: Musculoskeletal and Integumentary Systems,49
University of Pennsylvania,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,49
University of Pennsylvania,English for Business and Entrepreneurship,49
DeepLearning.AI,Natural Language Processing with Attention Models,49
University of Pennsylvania,What is Compliance?,79
IBM,Data Visualization with Python,49
University of Michigan,Negociación exitosa: Estrategias y habilidades esenciales (en español),49
PwC,Data-driven Decision Making,49
Georgia Institute of Technology,Fundamentals of Engineering Exam Review,49
University of Pittsburgh,Gender and Sexuality: Diversity and Inclusion in the Workplace,49
University of Virginia,Managerial Accounting Fundamentals,79
Yale University,Essentials of Global Health,49
Erasmus University Rotterdam,International Security Management,49
Università Bocconi,Arts and Heritage Management,49
Stanford University,Understanding Einstein: The Special Theory of Relativity,49
ESSEC Business School,Réussir le Changement,59
"University of California, Davis",Equine Welfare and Management,79
Sciences Po,International migrations: a global issue,49
"University of California, Davis",Introduction to Web Development,79
University of Michigan,Writing and Editing: Word Choice and Word Order,49
Rice University,Engineering Project Management: Initiating and Planning,49
JetBrains,Kotlin for Java Developers,49
Imperial College London,Mathematics for Machine Learning: Multivariate Calculus,49
Google,Introduction to Git and GitHub,49
University of Manchester   ,Industrial Biotechnology,49
Emory University,The Addicted Brain,49
Pontificia Universidad Católica de Chile,Introducción a la programación en Python I: Aprendiendo a programar con Python,29
Ludwig-Maximilians-Universität München (LMU),Nutrition and Lifestyle in Pregnancy,49
University of Pennsylvania,Financial Acumen for Non-Financial Managers,79
The Hong Kong University of Science and Technology,Python and Statistics for Financial Analysis,49
University of Alberta,Bugs 101: Insect-Human Interactions,49
University of Michigan,"Leading for Equity, Diversity and Inclusion in Higher Education",49
University of Pennsylvania,Introduction to Spreadsheets and Models,79
University of Toronto,The Arts and Science of Relationships: Understanding Human Needs,49
The George Washington University,Essentials in Clinical Simulations Across the Health Professions,49
"University of California, Irvine",Budgeting and Scheduling Projects,49
University of Illinois at Urbana-Champaign,Introduction to Accounting Data Analytics and Visualization,49
Pontificia Universidad Católica de Chile,Gestión Empresarial Exitosa para Pymes,49
Universiteit Leiden,International Law in Action: the Arbitration of International Disputes,49
University of Pennsylvania,Introduction to Ancient Egypt and Its Civilization,49
Università Bocconi,Financing and Investing in Infrastructure,49
Technical University of Denmark (DTU),Global Environmental Management,49
University of Pennsylvania,Operations Analytics,79
HEC Paris,Entrepreneurship Strategy: From Ideation to Exit,79
Duke University,FinTech Law and Policy,49
University of Toronto,The Social Context of Mental Health and Illness,49
The Museum of Modern Art,What Is Contemporary Art?,49
Berklee College of Music,The Art of Music Production,49
Emory University,Biohacking Your Brain's Health,49
"University of California, Santa Cruz",Bayesian Statistics: From Concept to Data Analysis,79
ESSEC Business School,Reporting extra-financier et stratégie RSE,49
The George Washington University,Leading Healthcare Quality and Safety,49
IBM,Introduction to Data Analytics,49
Universidad Austral,Fundamentos de Excel para Negocios,29
Google Cloud,Elastic Google Cloud Infrastructure: Scaling and Automation,49
The University of Sydney,Cultural Competence - Aboriginal Sydney,49
Lund University,Greening the Economy: Sustainable Cities,49
Georgia Institute of Technology,Introduction to Engineering Mechanics,49
The University of Sydney,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,49
University of California San Diego,Biology Meets Programming: Bioinformatics for Beginners,49
Yale University,Understanding Medical Research: Your Facebook Friend is Wrong,49
Yale University,Health Behavior Change: From Evidence to Action,49
University of Illinois at Urbana-Champaign,Ordered Data Structures,79
McMaster University,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,49
Duke University,Programming Fundamentals,49
University of Geneva,Understanding Financial Markets,49
